i,star,start_time,end_time,exposure_time
273,V* V732 Her,2024-10-02 22:02:04.439,2024-10-02 22:02:29.439,25.0
274,V* V732 Her,2024-10-02 22:02:29.439,2024-10-02 22:02:54.439,25.0
275,V* V732 Her,2024-10-02 22:02:54.439,2024-10-02 22:03:19.439,25.0
276,V* V732 Her,2024-10-02 22:03:19.439,2024-10-02 22:03:44.439,25.0
277,V* V732 Her,2024-10-02 22:03:44.439,2024-10-02 22:04:09.439,25.0
278,V* V732 Her,2024-10-02 22:04:09.439,2024-10-02 22:04:34.439,25.0
279,V* V732 Her,2024-10-02 22:04:34.439,2024-10-02 22:04:59.439,25.0
280,V* V732 Her,2024-10-02 22:04:59.439,2024-10-02 22:05:24.439,25.0
281,V* V732 Her,2024-10-02 22:05:24.439,2024-10-02 22:05:49.439,25.0
282,V* V732 Her,2024-10-02 22:05:49.439,2024-10-02 22:06:14.439,25.0
283,V* V732 Her,2024-10-02 22:06:14.439,2024-10-02 22:06:39.439,25.0
284,V* V732 Her,2024-10-02 22:06:39.439,2024-10-02 22:07:04.439,25.0
285,V* V732 Her,2024-10-02 22:07:04.439,2024-10-02 22:07:29.439,25.0
286,V* V732 Her,2024-10-02 22:07:29.439,2024-10-02 22:07:54.439,25.0
287,V* V732 Her,2024-10-02 22:07:54.439,2024-10-02 22:08:19.439,25.0
288,V* V732 Her,2024-10-02 22:08:19.439,2024-10-02 22:08:44.439,25.0
289,V* V732 Her,2024-10-02 22:08:44.439,2024-10-02 22:09:09.439,25.0
290,V* V732 Her,2024-10-02 22:09:09.439,2024-10-02 22:09:34.439,25.0
291,V* V732 Her,2024-10-02 22:09:34.439,2024-10-02 22:09:59.439,25.0
292,V* V732 Her,2024-10-02 22:09:59.439,2024-10-02 22:10:24.439,25.0
293,V* V732 Her,2024-10-02 22:10:24.439,2024-10-02 22:10:49.439,25.0
294,V* V732 Her,2024-10-02 22:10:49.439,2024-10-02 22:11:14.439,25.0
295,V* V732 Her,2024-10-02 22:11:14.439,2024-10-02 22:11:39.439,25.0
296,V* V732 Her,2024-10-02 22:11:39.439,2024-10-02 22:12:04.439,25.0
297,V* V732 Her,2024-10-02 22:12:04.439,2024-10-02 22:12:29.439,25.0
298,V* V732 Her,2024-10-02 22:12:29.439,2024-10-02 22:12:54.439,25.0
299,V* V732 Her,2024-10-02 22:12:54.439,2024-10-02 22:13:19.439,25.0
300,V* V732 Her,2024-10-02 22:13:19.439,2024-10-02 22:13:44.439,25.0
301,V* V732 Her,2024-10-02 22:13:44.439,2024-10-02 22:14:09.439,25.0
302,V* V732 Her,2024-10-02 22:14:09.439,2024-10-02 22:14:34.439,25.0
303,V* V732 Her,2024-10-02 22:14:34.439,2024-10-02 22:14:59.439,25.0
304,V* V732 Her,2024-10-02 22:14:59.439,2024-10-02 22:15:24.439,25.0
305,V* V732 Her,2024-10-02 22:15:24.439,2024-10-02 22:15:49.439,25.0
306,V* V732 Her,2024-10-02 22:15:49.439,2024-10-02 22:16:14.439,25.0
307,V* V732 Her,2024-10-02 22:16:14.439,2024-10-02 22:16:39.439,25.0
308,V* V732 Her,2024-10-02 22:16:39.439,2024-10-02 22:17:04.439,25.0
309,V* V732 Her,2024-10-02 22:17:04.439,2024-10-02 22:17:29.439,25.0
310,V* V732 Her,2024-10-02 22:17:29.439,2024-10-02 22:17:54.439,25.0
311,V* V732 Her,2024-10-02 22:17:54.439,2024-10-02 22:18:19.439,25.0
312,V* V732 Her,2024-10-02 22:18:19.439,2024-10-02 22:18:44.439,25.0
313,V* V732 Her,2024-10-02 22:18:44.439,2024-10-02 22:19:09.439,25.0
314,V* V732 Her,2024-10-02 22:19:09.439,2024-10-02 22:19:34.439,25.0
315,V* V732 Her,2024-10-02 22:19:34.439,2024-10-02 22:19:59.439,25.0
